dataset,model,adapter,r,alpha,dropout,epochs,lr,trainable_params,total_params,accuracy,train_time_min,peak_vram_gb,notes
wikitext2,distilgpt2,sparselora,4,8,0.1000,3,0.0010,147456,82207488,309.5098,2.3707,5.5419,synthetic_sparselora
wikitext2,distilgpt2,sparselora,4,8,0.1000,3,0.0020,147456,82207488,267.4205,2.4634,5.5568,synthetic_sparselora
wikitext2,distilgpt2,sparselora,8,16,0.1000,3,0.0000,294912,82502400,839.6125,2.4885,5.4835,synthetic_sparselora
wikitext2,distilgpt2,sparselora,8,16,0.1000,3,0.0001,294912,82502400,442.6113,2.3481,5.6863,synthetic_sparselora
wikitext2,distilgpt2,sparselora,8,16,0.1000,3,0.0002,294912,82502400,371.9882,2.5477,5.5732,synthetic_sparselora
wikitext2,distilgpt2,sparselora,8,16,0.1000,3,0.0004,294912,82502400,339.4900,2.3771,5.7065,synthetic_sparselora
wikitext2,distilgpt2,sparselora,8,16,0.1000,3,0.0010,294912,82502400,278.0590,2.4912,5.1647,synthetic_sparselora
wikitext2,distilgpt2,sparselora,8,16,0.1000,3,0.0020,294912,82502400,242.4968,2.4786,5.9478,synthetic_sparselora
wikitext2,distilgpt2,sparselora,16,32,0.1000,3,0.0000,589824,83092224,663.4964,2.4712,5.5412,synthetic_sparselora
wikitext2,distilgpt2,sparselora,16,32,0.1000,3,0.0001,589824,83092224,399.8502,2.4320,5.9558,synthetic_sparselora
wikitext2,distilgpt2,sparselora,16,32,0.1000,3,0.0002,589824,83092224,351.9168,2.4155,5.2091,synthetic_sparselora
wikitext2,distilgpt2,sparselora,16,32,0.1000,3,0.0004,589824,83092224,310.5798,2.3427,5.8729,synthetic_sparselora
wikitext2,distilgpt2,sparselora,16,32,0.1000,3,0.0010,589824,83092224,252.4410,2.5084,5.2494,synthetic_sparselora
wikitext2,distilgpt2,sparselora,16,32,0.1000,3,0.0020,589824,83092224,215.5756,2.5529,5.6876,synthetic_sparselora
wikitext2,distilgpt2,sparselora,32,64,0.1000,3,0.0000,1179648,84271872,560.1949,2.3903,5.4025,synthetic_sparselora
wikitext2,distilgpt2,sparselora,32,64,0.1000,3,0.0001,1179648,84271872,370.2035,2.5458,5.8055,synthetic_sparselora
wikitext2,distilgpt2,sparselora,32,64,0.1000,3,0.0002,1179648,84271872,329.9835,2.5383,5.4799,synthetic_sparselora
wikitext2,distilgpt2,sparselora,32,64,0.1000,3,0.0004,1179648,84271872,282.6804,2.5764,5.4531,synthetic_sparselora
wikitext2,distilgpt2,sparselora,32,64,0.1000,3,0.0010,1179648,84271872,227.8825,2.5329,5.8057,synthetic_sparselora
wikitext2,distilgpt2,sparselora,32,64,0.1000,3,0.0020,1179648,84271872,195.6385,2.5694,5.2487,synthetic_sparselora
wikitext2,distilgpt2,sparselora,64,128,0.1000,3,0.0000,2359296,86631168,489.3525,2.5781,5.4605,synthetic_sparselora
wikitext2,distilgpt2,sparselora,64,128,0.1000,3,0.0001,2359296,86631168,345.8426,2.3587,5.5203,synthetic_sparselora
wikitext2,distilgpt2,sparselora,64,128,0.1000,3,0.0002,2359296,86631168,299.3068,2.4982,6.0053,synthetic_sparselora
wikitext2,distilgpt2,sparselora,64,128,0.1000,3,0.0004,2359296,86631168,251.2676,2.4672,5.7299,synthetic_sparselora
wikitext2,distilgpt2,sparselora,64,128,0.1000,3,0.0010,2359296,86631168,202.0845,2.5426,5.7651,synthetic_sparselora
wikitext2,distilgpt2,sparselora,64,128,0.1000,3,0.0020,2359296,86631168,177.6361,2.5518,5.8679,synthetic_sparselora
